CUS_ID,Ypred
1193,0
1727,0
3293,0
4328,0
5555,0
7193,0
7337,0
8142,0
8531,0
8849,0
9824,0
9861,0
10008,0
10422,0
11066,0
12189,0
12248,0
13554,0
15080,0
18008,0
18155,0
19214,0
19707,0
20867,0
21183,0
21768,0
22893,0
24127,0
25501,0
25529,0
26652,0
26990,0
27320,0
28304,0
28721,0
29077,0
29378,0
33268,0
34225,0
37822,0
39126,0
39475,0
40012,0
40883,0
41844,0
42860,0
42979,0
42989,0
43825,0
43841,0
45681,0
45852,0
48438,0
49628,0
51291,0
51974,0
52677,0
52941,0
53224,0
54118,0
54296,0
55603,0
56660,0
56663,0
58913,0
59326,0
59387,0
60720,0
61305,0
62125,0
64108,0
64217,0
64528,0
66597,0
67648,0
67708,0
68651,0
69755,0
70320,0
70405,0
71274,0
73337,0
73640,0
73875,0
74131,0
74646,0
75581,0
75700,0
77516,0
77948,0
78424,0
79740,0
85095,0
85983,0
86317,0
86629,0
86809,0
86901,0
87355,0
89013,0
90790,0
92313,0
93801,0
94224,0
95200,0
95670,0
95827,0
96410,0
96680,0
96683,0
96751,0
96915,0
96932,0
97314,0
97320,0
97326,0
97745,0
99098,0
99500,0
99928,0
100651,0
101913,0
102732,0
103563,0
105668,0
106207,0
107495,0
111043,0
112297,0
114675,0
115886,0
116494,0
116743,0
117901,0
119545,0
119613,0
119850,0
120956,0
121384,0
121717,0
121867,0
124466,0
125362,0
126717,0
127316,0
127641,0
127680,0
127737,0
129464,0
129556,0
130973,0
131277,0
131727,0
133110,0
133779,0
134514,0
134916,0
135644,0
136795,0
137326,0
137971,0
139417,0
140132,0
141454,0
141457,0
142892,0
143031,0
145557,0
145558,0
145708,0
145898,0
145943,0
146366,0
149101,0
150311,0
151214,0
152206,0
152649,0
152878,0
152913,0
154393,0
155068,0
155711,0
155808,0
157239,0
157687,0
157858,0
158537,0
159218,0
159233,0
159448,0
160587,0
161092,0
161470,0
162655,0
163937,0
166104,0
166203,0
167498,0
168354,0
170320,0
170574,0
170702,0
172337,0
173331,0
174342,0
176155,0
176619,0
176802,0
177800,0
178309,0
179082,0
179234,0
179574,0
180284,0
181741,0
181995,0
182133,0
183511,0
184335,0
184378,0
185938,0
185943,0
186762,0
186799,0
186828,0
186947,0
187520,0
188069,0
188483,0
188791,0
189023,0
189516,0
189737,0
190018,0
192156,0
193303,0
193509,0
193776,0
193941,0
194284,0
195190,0
196065,0
197396,0
197439,0
197680,0
198719,0
199286,0
199817,0
200716,0
200810,0
201421,0
204185,0
204789,0
205713,0
207040,0
207337,0
207561,0
210358,0
211148,0
215331,0
215814,0
217604,0
218637,0
220932,0
221172,0
221828,0
228881,0
228894,0
229861,0
230223,0
231117,0
231243,0
233395,0
233653,0
237996,0
238541,0
239190,0
241991,0
242508,0
245184,0
245215,0
246200,0
246335,0
246370,0
247379,0
248472,0
248617,0
248758,0
251161,0
251408,0
251837,0
252267,0
253248,0
253271,0
254646,0
255620,0
255852,0
256124,0
256488,0
259592,0
259792,0
260310,0
260321,0
262528,0
262687,0
262787,0
265662,0
266114,0
267274,0
269410,0
271508,0
271614,0
273724,0
274306,0
275426,0
275679,0
275711,0
275758,0
275899,0
276019,0
276526,0
276858,0
277206,0
278821,0
281225,0
281452,0
282103,0
283146,0
283857,0
285455,0
286069,0
286558,0
286651,0
286898,0
289830,0
289874,0
290581,0
291318,0
291481,0
291938,0
292395,0
292821,0
293858,0
294042,0
296864,0
297399,0
302361,0
302762,0
302928,0
303814,0
304126,0
306908,0
307572,0
307586,0
309329,0
311137,0
311633,0
312542,0
313218,0
313259,0
313889,0
316520,0
316718,0
320335,0
320868,0
321629,0
323494,0
323968,0
324033,0
324194,0
324394,0
324734,0
329261,0
331153,0
331511,0
332096,0
332792,0
333488,0
333813,0
334917,0
336427,0
337549,0
339726,0
339779,0
340400,0
340803,0
342736,0
344093,0
344492,0
345916,0
346326,0
346901,0
346972,0
347430,0
348292,0
350819,0
351187,0
353048,0
353059,0
354332,0
354385,0
356631,0
356700,0
358086,0
358452,0
358673,0
358735,0
358760,0
359412,0
361507,0
361856,0
365295,0
365327,0
366023,0
366070,0
366180,0
366301,0
367723,0
368265,0
368967,0
369007,0
369988,0
370217,0
370678,0
371915,0
374148,0
376185,0
376454,0
377172,0
378729,0
387862,0
392291,0
393438,0
395514,0
395918,0
397253,0
400396,0
402276,0
403289,0
407454,0
410300,0
414198,0
415853,0
416015,0
416578,0
417106,0
418381,0
420506,0
421264,0
421862,0
421876,0
423010,0
424455,0
425616,0
425743,0
425891,0
426750,0
427578,0
429891,0
429902,0
430854,0
431066,0
431246,0
431853,0
432859,0
433023,0
433770,0
433851,0
435620,0
436301,0
437944,0
438048,0
439249,0
442094,0
442130,0
443281,0
443908,0
443914,0
445023,0
445827,0
446099,0
446600,0
447291,0
447694,0
448835,0
449347,0
449897,0
450853,0
451626,0
451791,0
452125,0
452542,0
454055,0
455932,0
456556,0
458689,0
460024,0
460068,0
462762,0
469416,0
470897,0
471228,0
472231,0
472361,0
476727,0
478031,0
478411,0
478498,0
480861,0
482493,0
485272,0
486458,0
486535,0
486620,0
487357,0
489018,0
491137,0
491330,0
491670,0
492883,0
495943,0
499018,0
499327,0
500152,0
500361,0
500487,0
500735,0
502282,0
502875,0
503652,0
506301,0
506412,0
508999,0
509207,0
510438,0
515250,0
518464,0
519183,0
520309,0
521893,0
527867,0
528068,0
529986,0
533678,0
536916,0
540657,0
540662,0
540966,0
542272,0
543811,0
545071,0
547820,0
549867,0
557533,0
558958,0
559430,0
559886,0
560293,0
562036,0
564698,0
567293,0
